,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,religious-groups-in-schools,anti-satellite-test-ban,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,Target
205,0,0,1,0,1,1,1,1,0,1,0,0,0,1,democrat
206,0,0,0,1,1,0,0,1,0,1,0,1,0,1,republican
207,1,2,0,1,1,1,0,1,0,1,1,1,0,1,republican
208,0,0,1,0,0,1,1,0,0,2,0,0,1,1,democrat
209,1,1,1,0,0,1,1,1,1,0,0,0,0,1,democrat
210,0,0,1,0,1,1,1,0,0,0,0,0,1,1,democrat
211,0,1,0,1,1,0,0,1,0,1,1,1,0,1,republican
212,0,0,1,0,0,1,1,0,1,0,0,0,1,1,democrat
213,0,1,1,0,1,0,1,0,1,0,1,0,1,1,democrat
214,1,1,0,1,1,0,0,1,0,1,1,1,0,1,republican
215,0,1,1,1,1,0,0,1,1,1,1,1,1,2,democrat
216,1,1,1,0,1,0,2,1,0,0,0,1,1,2,democrat
217,0,1,0,1,1,0,0,1,0,1,1,1,0,0,republican
218,1,2,1,0,0,1,1,0,2,0,0,0,1,2,democrat
219,0,1,1,0,0,0,1,0,1,0,0,1,1,1,democrat
220,0,0,1,0,0,1,1,0,0,0,0,0,1,2,democrat
221,0,1,1,0,1,0,0,0,1,0,0,0,1,2,democrat
222,1,0,1,0,0,1,1,0,1,0,0,0,1,2,democrat
223,0,0,0,1,0,0,0,0,0,1,1,1,0,1,republican
224,0,1,0,1,1,0,0,1,0,2,1,1,0,0,republican
225,0,2,0,1,1,0,0,0,0,1,1,1,0,1,republican
226,0,0,1,0,1,1,1,0,1,0,0,1,1,1,democrat
227,1,0,1,0,0,1,1,0,0,0,0,0,2,1,democrat
228,0,1,0,1,1,0,0,0,0,1,1,2,0,1,republican
229,0,1,1,1,1,1,1,1,0,1,1,1,0,1,republican
230,0,1,0,1,1,0,0,0,0,1,1,1,0,1,republican
231,0,1,0,1,1,0,1,1,0,1,1,1,0,1,republican
232,0,1,1,0,0,1,0,0,1,0,0,0,1,2,democrat
233,0,1,0,1,1,0,0,1,0,1,1,1,0,1,republican
234,0,0,1,0,1,1,1,1,0,1,0,1,1,2,democrat
235,0,0,0,1,1,0,0,1,0,1,0,1,0,1,republican
236,0,0,1,0,0,1,1,0,0,0,0,0,1,1,democrat
237,1,0,1,0,1,1,0,0,0,1,1,0,0,1,democrat
238,1,1,1,0,0,1,2,1,0,0,0,0,1,2,democrat
239,0,0,0,1,1,1,0,1,0,0,0,1,1,1,republican
240,0,0,0,1,1,1,1,0,0,1,1,1,0,1,republican
241,1,0,1,0,0,1,1,1,1,0,0,1,1,1,democrat
242,0,0,0,0,1,1,0,0,0,2,0,1,1,1,republican
243,0,1,1,0,0,1,2,1,0,0,1,0,1,1,democrat
244,1,0,1,0,0,0,1,1,0,0,0,0,1,1,democrat
245,1,0,1,0,0,1,1,1,1,0,0,0,1,1,democrat
246,0,0,1,0,0,1,1,0,0,0,0,1,2,1,democrat
247,0,1,0,1,1,2,0,0,0,2,1,1,0,0,republican
248,2,2,2,2,2,2,2,2,2,2,2,2,2,2,republican
249,1,0,1,0,0,1,2,0,1,0,0,0,1,1,democrat
250,0,1,0,1,1,0,0,0,0,1,1,1,0,0,republican
251,0,1,0,1,1,0,0,0,0,1,1,1,0,0,republican
252,1,1,1,0,1,1,1,0,0,0,0,0,1,1,democrat
253,0,1,0,1,1,0,0,0,0,1,1,1,0,1,republican
254,1,0,1,0,0,1,1,1,0,0,0,0,0,1,democrat
255,1,0,1,0,0,1,1,1,0,0,0,1,1,1,democrat
256,0,0,0,1,0,0,0,0,0,1,0,1,0,0,republican
257,0,0,0,1,0,0,0,0,0,1,0,1,2,1,republican
258,0,0,1,0,0,1,1,0,1,0,0,0,1,1,democrat
259,1,0,1,0,0,1,1,0,0,0,0,0,0,1,democrat
260,1,0,1,0,0,1,1,1,0,0,0,0,0,1,democrat
261,1,0,1,0,2,1,1,0,2,2,0,2,2,2,democrat
262,1,0,1,0,0,1,1,1,0,0,2,0,1,1,democrat
263,1,0,1,0,0,1,1,0,0,0,0,0,1,2,democrat
264,1,0,1,0,0,1,1,0,0,0,0,0,1,2,democrat
265,1,0,1,0,0,1,1,1,0,0,0,0,0,1,democrat
266,0,0,0,1,1,0,0,1,0,1,0,1,0,1,republican
267,1,0,0,0,0,1,1,1,0,0,0,1,0,1,republican
268,1,0,1,0,0,1,1,0,0,0,0,0,1,2,democrat
269,1,0,1,0,0,1,1,0,0,0,0,0,0,1,democrat
270,1,1,1,0,0,1,1,0,0,0,0,0,1,1,democrat
271,0,1,1,0,1,1,1,0,2,0,0,0,0,1,democrat
272,1,0,1,0,0,1,1,1,0,0,0,0,1,2,democrat
273,0,0,0,1,0,1,0,1,0,1,1,1,2,1,republican
274,1,0,0,1,0,1,0,1,0,0,0,1,1,1,republican
275,0,0,1,0,1,0,0,0,2,0,1,1,0,0,democrat
276,0,0,0,1,1,0,0,0,0,1,1,1,1,0,republican
277,0,0,1,1,1,1,0,1,0,0,0,1,0,1,republican
278,0,0,0,1,1,0,0,0,0,1,1,1,0,1,republican
279,0,0,0,1,1,0,0,1,0,1,1,1,0,0,republican
280,0,0,1,0,0,1,1,1,0,0,0,1,0,1,democrat
281,1,0,1,1,1,1,0,0,0,0,0,1,0,2,republican
282,1,0,0,1,1,0,0,1,0,2,1,1,0,0,republican
283,0,0,0,1,1,0,0,0,0,1,1,1,0,1,republican
284,0,0,1,0,1,1,1,1,1,0,0,0,2,1,democrat
285,0,0,1,0,1,1,1,1,1,0,0,0,1,1,democrat
286,0,0,1,0,1,2,2,1,1,1,0,1,1,2,democrat
287,1,1,1,2,1,1,1,0,1,0,1,0,2,1,democrat
288,1,1,1,0,1,0,0,1,1,0,1,1,1,1,democrat
289,1,1,1,0,1,0,0,1,1,0,1,1,0,2,democrat
290,1,0,1,0,1,2,1,1,0,0,1,1,0,1,democrat
291,1,0,1,0,1,1,1,1,0,2,0,1,0,1,democrat
292,1,0,1,0,1,1,0,1,1,0,1,1,1,1,democrat
293,1,1,1,0,1,1,1,1,1,0,1,1,1,1,democrat
294,0,1,1,0,1,1,0,1,1,0,1,1,0,2,democrat
295,0,1,0,1,1,2,0,1,0,1,2,2,2,2,republican
296,0,0,1,1,1,0,0,1,0,1,1,1,1,1,republican
297,1,1,1,0,1,1,1,1,0,0,2,0,1,2,democrat
298,0,1,0,0,0,1,1,1,1,0,0,0,1,1,democrat
299,0,1,1,0,1,1,1,1,0,0,1,1,1,1,democrat
300,0,0,0,1,0,1,1,1,0,1,1,1,0,1,republican
301,0,0,2,0,1,1,1,0,0,0,0,0,1,1,democrat
302,0,0,0,1,1,1,0,1,0,1,1,1,0,1,republican
303,0,0,0,1,1,0,0,0,0,1,1,1,0,0,republican
304,0,1,0,1,1,0,0,1,0,1,1,1,0,2,republican
305,0,0,0,1,1,0,0,1,0,1,1,1,0,0,republican
306,0,0,0,1,1,0,0,0,0,1,1,1,0,0,republican
307,1,0,1,0,1,1,1,0,0,0,0,1,0,2,democrat
308,0,0,0,1,1,0,0,1,0,1,1,1,0,0,republican
309,1,0,0,0,1,1,1,1,0,0,0,1,1,1,democrat
310,0,0,0,1,1,0,0,1,0,1,1,1,1,0,republican
311,0,0,1,0,1,1,1,1,0,0,1,0,0,1,democrat
312,1,1,1,0,0,1,1,1,0,0,0,0,1,1,democrat
313,0,1,1,1,1,0,0,1,0,1,1,1,0,1,republican
314,0,1,0,1,1,1,0,0,1,1,1,1,1,1,republican
315,0,1,1,1,1,1,0,0,0,0,2,2,1,2,republican
316,0,0,0,0,1,0,1,0,1,1,1,1,1,0,democrat
317,1,0,0,0,0,1,1,1,0,0,0,0,1,1,democrat
318,0,0,1,0,0,1,1,0,0,0,0,0,1,2,democrat
319,1,0,1,0,0,1,1,0,0,0,0,0,1,2,democrat
320,0,1,1,0,1,0,1,1,0,0,1,1,0,1,democrat
321,1,1,1,0,0,1,1,1,0,0,1,0,0,1,democrat
322,1,1,1,0,1,0,0,0,1,0,1,1,0,2,democrat
323,1,1,1,0,1,0,2,1,0,0,1,1,0,2,democrat
324,0,1,0,1,1,0,0,0,1,1,1,1,0,0,republican
325,0,1,0,0,1,0,2,0,0,1,1,1,0,1,democrat
326,1,1,0,1,0,1,1,0,1,0,0,1,0,1,democrat
327,0,1,0,1,1,0,0,0,0,1,1,1,0,1,republican
328,1,1,1,0,0,1,1,0,1,0,0,0,0,1,democrat
329,1,2,1,0,1,1,1,1,0,0,0,0,1,2,democrat
330,0,1,0,1,1,0,0,1,0,1,1,1,0,0,republican
331,1,2,1,0,0,1,1,0,0,0,0,0,1,2,democrat
332,1,0,1,0,0,1,1,0,1,0,0,0,1,2,democrat
333,0,0,1,0,0,1,1,0,0,0,0,0,1,1,democrat
334,0,1,1,0,1,1,2,0,1,1,0,0,1,1,democrat
335,0,0,0,1,1,0,0,1,1,1,1,1,0,2,republican
336,0,0,1,0,1,1,0,0,1,0,0,1,2,1,democrat
337,1,0,1,0,0,1,1,0,0,0,0,0,1,1,democrat
338,1,0,1,0,0,1,1,1,0,0,0,1,1,1,democrat
339,1,0,0,1,1,0,0,0,1,1,1,1,0,0,republican
340,0,0,0,1,1,0,0,1,1,1,0,1,0,1,republican
341,0,2,1,2,1,1,1,1,1,0,2,2,1,1,democrat
342,0,1,1,0,2,1,0,1,1,0,1,0,1,1,democrat
343,0,0,0,1,0,1,1,1,0,0,0,1,0,1,republican
344,0,0,1,0,0,1,1,1,1,0,0,0,1,1,democrat
345,0,0,0,1,1,1,0,1,0,1,0,1,1,1,republican
346,0,0,0,1,1,0,0,1,0,1,1,1,0,1,republican
347,1,0,0,1,1,0,0,1,0,1,1,1,0,0,republican
348,1,0,1,0,0,1,1,1,0,1,0,0,1,2,democrat
349,0,1,1,1,1,1,1,0,0,1,1,1,0,1,republican
350,0,1,0,0,1,1,1,0,1,0,0,0,1,1,democrat
351,0,0,1,1,1,1,1,1,0,1,1,1,1,1,republican
352,0,1,0,1,1,1,1,0,1,0,1,0,1,2,democrat
353,0,0,1,1,1,1,0,1,1,1,1,1,0,1,republican
354,0,1,1,0,1,1,1,1,0,2,0,0,1,1,democrat
355,1,0,1,1,0,0,1,1,0,0,0,1,1,1,republican
356,0,0,0,1,1,0,0,0,0,1,1,1,0,0,republican
357,0,0,0,1,1,0,0,0,0,1,1,1,0,0,republican
358,1,1,1,0,1,1,1,1,1,1,1,1,0,2,democrat
359,0,0,0,1,1,0,0,1,2,1,1,1,0,1,republican
360,1,0,1,0,1,1,1,1,0,0,1,0,0,1,democrat
361,1,0,1,0,1,1,1,1,0,0,1,1,0,2,democrat
362,1,1,1,0,1,1,1,1,1,1,1,0,0,1,democrat
363,1,1,0,1,1,0,0,1,1,0,1,0,0,0,republican
364,1,1,0,1,1,0,0,0,1,0,1,1,0,1,republican
365,0,1,0,0,1,0,0,1,1,0,1,1,0,0,democrat
366,1,0,1,0,0,1,0,1,1,0,0,0,0,2,democrat
367,1,1,1,0,1,1,0,1,1,0,0,0,1,2,democrat
368,0,1,1,0,1,1,0,1,0,0,0,0,1,1,democrat
369,0,1,0,1,1,0,0,0,0,0,1,1,0,1,republican
370,1,1,1,0,1,1,0,1,2,2,0,0,1,1,democrat
371,1,1,1,0,0,1,1,1,0,0,0,0,1,2,democrat
372,0,1,1,1,1,0,0,0,1,1,2,1,0,0,democrat
373,0,1,1,2,1,0,0,1,2,0,1,1,2,1,democrat
374,0,1,0,1,1,0,0,0,0,1,1,1,0,1,republican
375,0,1,0,1,1,0,0,0,1,1,0,1,0,0,democrat
376,1,2,1,0,0,1,1,0,1,0,0,0,1,1,democrat
377,0,1,0,1,1,2,0,0,2,2,1,2,2,2,republican
378,0,0,0,1,1,0,0,0,0,1,1,1,0,1,republican
379,0,0,0,1,1,0,0,0,0,1,1,1,0,1,republican
380,1,1,1,0,1,2,1,0,1,0,1,0,1,1,democrat
381,1,1,1,0,1,1,1,1,1,0,1,1,0,2,democrat
382,1,1,0,1,1,0,0,0,1,0,1,1,0,2,democrat
383,1,1,1,0,1,0,1,1,1,0,0,0,0,1,democrat
384,1,1,1,1,1,0,0,0,1,1,1,1,0,1,democrat
385,1,1,0,0,1,0,0,0,1,1,1,1,1,0,democrat
386,0,2,1,0,1,0,0,0,1,0,0,0,0,2,democrat
387,1,1,1,0,1,0,1,0,1,0,0,1,0,2,democrat
388,0,1,1,1,1,0,0,0,0,1,1,1,0,2,democrat
389,1,0,1,0,0,1,1,2,1,0,0,0,1,2,democrat
390,2,2,0,0,1,2,0,0,1,1,0,1,0,2,democrat
391,1,1,0,0,0,0,1,0,1,0,0,0,1,0,democrat
392,1,1,0,1,1,0,0,0,1,1,1,1,0,1,republican
393,2,2,2,2,1,0,1,0,0,1,1,0,0,2,republican
394,1,1,2,2,1,0,0,0,1,0,1,0,0,1,democrat
395,1,1,1,2,0,0,0,0,1,2,0,0,1,1,democrat
396,1,1,1,0,1,0,0,0,1,0,1,0,1,1,democrat
397,1,1,0,0,2,0,0,0,1,0,1,1,0,1,democrat
398,0,1,1,0,1,0,0,0,0,0,0,0,0,1,democrat
399,0,1,0,1,1,0,0,1,0,1,1,1,0,0,republican
400,0,1,0,1,1,0,0,0,2,2,2,1,0,2,republican
401,0,1,0,1,1,0,0,1,1,1,1,1,0,0,republican
402,2,0,1,1,1,1,1,1,0,1,0,1,0,1,republican
403,0,1,0,1,1,0,0,1,0,1,2,1,0,0,republican
404,1,1,0,1,1,0,0,1,0,1,1,1,0,1,republican
405,0,0,0,1,1,0,0,0,0,1,1,1,0,1,republican
406,1,0,1,0,1,0,1,1,0,0,1,1,0,1,democrat
407,0,0,0,1,1,0,0,0,1,1,1,1,0,0,democrat
408,1,0,1,0,1,1,1,0,0,1,2,1,1,1,democrat
409,1,0,1,0,1,1,1,1,1,0,0,0,0,1,democrat
410,2,2,2,0,0,1,1,1,0,0,1,0,1,1,democrat
411,1,0,1,0,0,1,1,1,0,1,0,2,1,1,democrat
412,1,1,1,0,0,1,1,1,1,0,1,0,0,1,democrat
413,1,1,1,0,0,1,0,1,0,0,0,0,0,1,democrat
414,0,1,0,1,1,0,0,1,0,1,1,1,2,0,republican
